Initializing carrier
Error detected!
Pressure sensor is not connected!
Failure on init
Initializing carrier
Sd card not detected
Failed to initialize SD card!
Failed to initialize SD card!
Failed to initialize SD card!
Failed to initialize SD card!
Failed to initialize SD card!
Failed to initialize SD card!
Bypassing SD card. Writting to serial only.
temperature, humidity, pressure, light, Ax, Ay, Az, Gx, Gy, Gz
32.70,50.39,98.54,31,-0.14,-0.17,1.00,0.85,-4.70,-0.73,
32.89,49.69,98.53,31,-0.06,-0.15,1.07,-7.02,30.40,-0.43,
32.91,49.58,98.54,19,-0.34,-0.22,-0.48,-644.78,19.17,-57.25,
32.89,50.24,98.54,17,-0.43,0.30,-0.84,1.40,0.18,-1.77,
32.91,50.18,98.53,17,-0.42,0.30,-0.82,0.73,-9.64,0.37,
32.91,50.10,98.54,17,-0.45,0.33,-0.81,-0.12,-3.36,-1.16,
32.85,49.87,98.54,15,-0.43,0.26,-0.69,1.22,-6.23,-0.31,
32.87,49.96,98.53,80,1.08,0.44,-0.03,-20.75,1.04,-18.86,
32.89,48.86,98.53,33,0.01,-0.23,0.68,-229.49,57.07,17.88,
32.87,49.11,98.53,29,0.17,-0.41,0.94,3.23,-10.19,0.06,
32.87,49.20,98.53,30,0.12,-0.28,1.01,-19.47,-14.04,4.52,
32.85,49.12,98.53,27,0.11,-0.33,0.99,3.85,-5.55,-2.38,
32.87,49.36,98.53,18,0.09,-0.25,0.96,-2.14,-3.85,-1.28,
32.89,49.57,98.53,27,0.12,-0.26,0.99,2.01,-3.85,-1.10,
32.89,49.55,98.53,27,0.13,-0.24,0.99,0.55,-4.76,-0.31,
32.91,49.65,98.53,443,-0.13,0.66,0.80,81.30,-2.32,-93.51,
32.89,49.15,98.53,376,-0.49,0.78,0.27,22.77,15.99,-20.26,
32.91,48.08,98.53,501,-0.59,0.62,0.55,0.98,-15.62,30.21,
32.89,48.67,98.53,180,-0.50,0.64,0.57,1.71,-1.71,5.62,
32.87,48.87,98.53,140,-0.50,0.67,0.55,-0.92,-3.78,-1.04,
32.91,48.81,98.53,1647,-0.25,0.56,0.76,-55.18,-6.16,63.29,
32.91,48.22,98.52,483,-0.01,0.07,1.03,-5.07,-1.83,1.04,
32.89,48.81,98.53,344,-0.05,0.01,1.03,1.16,-4.76,-0.73,
32.89,48.73,98.53,382,-0.10,0.03,1.02,0.00,0.00,0.18,
32.87,48.75,98.52,368,-0.12,0.02,1.02,-0.31,-4.70,-0.12,
32.87,48.67,98.53,332,-0.11,0.01,1.02,0.12,-5.37,-0.06,
32.89,48.55,98.53,461,0.12,0.68,1.03,-25.63,-5.43,-23.93,
32.85,48.43,98.53,1015,0.03,1.21,0.75,-38.64,-5.13,-4.03,
32.85,48.16,98.53,46,-0.10,-0.49,0.89,96.31,-22.89,30.70,
32.83,48.90,98.52,29,-1.11,-0.35,0.58,-102.23,-15.08,-71.72,
32.83,48.69,98.53,27,-0.41,0.53,0.45,43.33,226.32,-43.88,
32.82,48.95,98.53,82,0.01,-0.14,0.96,57.92,-5.92,-94.36,
32.78,48.49,98.53,22,0.27,0.13,1.00,-34.18,-8.73,-95.95,
32.83,48.47,98.53,24,0.19,0.41,0.93,-2.32,-4.88,0.73,
32.80,48.46,98.53,23,0.19,0.37,0.94,1.40,-5.98,-2.20,
32.76,48.26,98.53,22,0.19,0.39,0.92,0.92,-7.08,-1.04,
32.80,48.37,98.53,21,0.15,0.41,0.92,-1.89,-8.97,-0.79,
32.78,48.42,98.53,21,0.19,0.37,0.93,-0.79,-4.64,-0.43,
32.80,48.31,98.53,17,0.11,0.45,0.91,-7.08,-5.86,-4.88,
32.74,48.97,98.53,16,0.12,0.37,0.94,0.49,-4.76,-0.67,
32.74,48.71,98.53,16,0.12,0.38,0.94,1.46,-5.19,-0.98,
32.78,48.77,98.53,17,0.13,0.38,0.94,1.40,-4.82,-0.73,
32.74,48.96,98.53,17,0.12,0.39,0.93,0.98,-4.33,-1.10,
32.72,48.85,98.53,18,0.12,0.37,0.94,0.73,-4.82,-0.73,
32.74,48.83,98.52,19,0.13,0.38,0.94,0.49,-5.37,-0.67,
32.74,49.13,98.53,20,0.13,0.38,0.94,0.55,-5.07,-0.79,
32.76,48.96,98.52,20,0.11,0.39,0.94,1.22,-6.84,-0.55,
